"updated","total_tests_CHW","total_tests_empl_otp","total_tests_otp","total_tests_CHW_past_72","total_pos_on_campus_res","new_pos_on_campus_res_past_72","total_pos_off_campus_res","new_pos_off_campus_res_past_72","total_recov_on_campus_res","new_recov_on_campus_res_past_72","current_hosp_on_campus_res","total_on_campus_res_iso","new_on_campus_res_iso_past_72","remaining_iso_beds","total_on_campus_res_quar","new_on_campus_res_quar_past_72","total_on_quar_current_quar_in_place","new_on_campus_quar_in_place_past_72"
2020-09-18,3174,NA,NA,139,6,1,73,1,2,0,0,6,1,168,15,0,NA,NA
2020-09-19,3298,NA,NA,124,6,0,79,6,2,0,0,5,0,170,14,0,NA,NA
2020-09-20,3298,NA,NA,124,6,0,79,6,2,0,0,5,0,170,14,0,NA,NA
2020-09-21,3298,NA,NA,124,6,0,79,6,2,0,0,5,0,170,14,0,NA,NA
2020-09-22,3345,NA,NA,47,6,0,84,5,3,0,0,3,0,172,14,1,NA,NA
2020-09-23,3444,NA,NA,99,7,1,86,2,5,0,0,3,0,173,13,1,NA,NA
2020-09-24,3669,NA,NA,225,10,3,87,1,5,0,0,7,4,169,13,0,NA,NA
2020-09-25,3822,NA,NA,153,10,0,88,1,5,0,0,10,0,166,13,0,NA,NA
2020-09-26,3915,NA,NA,93,11,1,91,3,5,0,0,12,2,164,15,3,NA,NA
2020-09-27,3915,NA,NA,93,11,1,91,3,5,0,0,12,2,164,15,3,NA,NA
2020-09-28,3915,NA,NA,93,11,1,91,3,5,0,0,12,2,164,15,3,NA,NA
2020-09-29,4033,NA,NA,118,21,10,92,1,8,3,0,12,1,164,15,0,NA,NA
2020-09-30,4247,NA,NA,214,21,0,95,3,8,0,0,12,0,164,15,0,NA,NA
2020-10-01,4385,NA,NA,138,21,0,98,3,8,0,0,11,0,165,15,0,NA,NA
2020-10-02,4497,NA,NA,112,24,3,103,5,11,3,0,14,3,162,15,0,NA,NA
2020-10-03,4638,NA,NA,141,26,2,104,1,12,1,0,15,1,161,15,0,NA,NA
2020-10-04,4638,NA,NA,141,26,2,104,1,12,1,0,15,1,161,15,0,NA,NA
2020-10-05,4638,NA,NA,141,26,2,104,1,12,1,0,15,1,161,15,0,NA,NA
2020-10-06,4768,NA,NA,130,26,0,107,3,12,0,0,15,1,161,15,0,189,3
2020-10-07,6695,NA,NA,291,27,1,116,9,13,0,0,15,1,161,15,0,189,0
2020-10-08,7443,NA,NA,232,31,1,138,12,15,1,0,16,1,161,14,0,234,23
2020-10-09,8631,NA,NA,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
2020-10-10,8631,NA,NA,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
2020-10-11,8631,NA,NA,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
2020-10-12,6042,NA,4288,244,40,1,154,3,16,0,0,24,2,153,14,0,279,0
2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,14,NA,279,NA
2020-10-14,6176,NA,4611,134,40,0,156,2,16,0,0,24,0,153,14,0,279,0
2020-10-15,6361,NA,5120,185,41,1,161,5,16,0,0,24,1,153,14,0,282,3
2020-10-16,6536,NA,5638,175,42,1,164,3,16,0,0,26,2,152,13,0,320,38
2020-10-19,6672,NA,5969,136,44,2,173,9,16,0,0,20,2,156,14,2,127,0
2020-10-20,6860,NA,6713,188,44,0,173,0,16,0,0,16,0,160,15,0,127,0
2020-10-21,6972,NA,7238,112,45,1,175,2,16,0,0,16,0,159,16,1,124,0
2020-10-22,7103,NA,7547,131,46,1,178,3,16,0,0,16,1,159,16,0,127,3
2020-10-24,7239,NA,7751,136,46,0,181,3,16,0,0,16,1,159,16,0,103,3
2020-10-26,7363,NA,8454,124,46,0,184,3,16,0,0,6,2,173,3,1,72,2
2020-10-27,7539,NA,8454,176,48,2,193,9,16,0,0,6,2,173,2,0,55,0
2020-10-28,7671,NA,8345,132,51,3,200,7,16,0,0,8,3,143,30,29,90,35
2020-10-29,8670,1053,8023,352,53,2,202,2,16,0,0,10,3,140,31,1,95,5
2020-10-30,9570,1141,8272,249,55,2,204,2,16,0,0,12,2,134,35,4,131,36
